date,id_player,points,cumulative_points
2026-04-06,a0fc,0.0,0.0
2026-04-06,ae14,0.0,0.0
2026-04-06,b0bi,10.0,10.0
2026-04-06,b0pg,10.0,10.0
2026-04-06,bt72,0.0,0.0
2026-04-06,bu13,10.0,10.0
2026-04-06,c0au,10.0,10.0
2026-04-06,c0c8,0.0,0.0
2026-04-06,c0df,0.0,0.0
2026-04-06,c0e9,10.0,10.0
2026-04-06,d0f6,0.0,0.0
2026-04-06,f0fv,10.0,10.0
2026-04-06,gd64,10.0,10.0
2026-04-06,ke29,0.0,0.0
2026-04-06,l0bv,10.0,10.0
2026-04-06,m0fh,10.0,10.0
2026-04-06,me82,0.0,0.0
2026-04-06,n0am,0.0,0.0
2026-04-06,rc91,10.0,10.0
2026-04-06,re44,10.0,10.0
2026-04-06,su55,0.0,0.0
2026-04-06,te51,0.0,0.0
2026-04-06,va25,10.0,10.0
2026-04-06,w367,0.0,0.0
2026-04-07,a0e2,10.0,10.0
2026-04-07,a0gc,10.0,10.0
2026-04-07,b0bi,0.0,10.0
2026-04-07,bd06,0.0,0.0
2026-04-07,bk40,10.0,10.0
2026-04-07,bk92,10.0,10.0
2026-04-07,c977,10.0,10.0
2026-04-07,d0fj,0.0,0.0
2026-04-07,d875,0.0,0.0
2026-04-07,d923,0.0,0.0
2026-04-07,dh58,10.0,10.0
2026-04-07,ea24,10.0,10.0
2026-04-07,hb71,10.0,10.0
2026-04-07,hh26,0.0,0.0
2026-04-07,m0ci,10.0,10.0
2026-04-07,mc65,0.0,0.0
2026-04-07,mp20,0.0,0.0
2026-04-07,mw02,10.0,10.0
2026-04-07,n771,0.0,0.0
2026-04-07,p09z,0.0,0.0
2026-04-07,q02l,0.0,0.0
2026-04-07,rh16,10.0,10.0
2026-04-07,s0ag,10.0,10.0
2026-04-07,s0h2,0.0,0.0
2026-04-08,a0gc,0.0,10.0
2026-04-08,ag37,10.0,10.0
2026-04-08,b0pg,10.0,20.0
2026-04-08,bk40,10.0,20.0
2026-04-08,bu13,10.0,20.0
2026-04-08,c0au,0.0,10.0
2026-04-08,c0e9,0.0,10.0
2026-04-08,c977,0.0,10.0
2026-04-08,ea24,10.0,20.0
2026-04-08,f0fv,10.0,20.0
2026-04-08,gd64,0.0,10.0
2026-04-08,hb71,10.0,20.0
2026-04-08,l0bv,10.0,20.0
2026-04-08,m0ci,0.0,10.0
2026-04-08,m0ej,0.0,0.0
2026-04-08,m0fh,10.0,20.0
2026-04-08,mm58,0.0,0.0
2026-04-08,mw02,0.0,10.0
2026-04-08,rc91,0.0,10.0
2026-04-08,re44,0.0,10.0
2026-04-08,rh16,10.0,20.0
2026-04-08,te30,0.0,0.0
2026-04-08,va25,10.0,20.0
2026-04-08,z355,10.0,10.0
2026-04-09,a0e2,10.0,20.0
2026-04-09,ag37,10.0,20.0
2026-04-09,b0pg,0.0,20.0
2026-04-09,bk40,0.0,20.0
2026-04-09,bk92,10.0,20.0
2026-04-09,bu13,0.0,20.0
2026-04-09,dh58,10.0,20.0
2026-04-09,ea24,0.0,20.0
2026-04-09,f0fv,10.0,30.0
2026-04-09,hb71,0.0,20.0
2026-04-09,l0bv,0.0,20.0
2026-04-09,m0fh,0.0,20.0
2026-04-09,rh16,0.0,20.0
2026-04-09,s0ag,10.0,20.0
2026-04-09,va25,10.0,30.0
2026-04-09,z355,10.0,20.0
2026-04-10,a0e2,10.0,30.0
2026-04-10,ag37,0.0,20.0
2026-04-10,bk92,0.0,20.0
2026-04-10,dh58,0.0,20.0
2026-04-10,f0fv,0.0,30.0
2026-04-10,s0ag,10.0,30.0
2026-04-10,va25,10.0,40.0
2026-04-10,z355,10.0,30.0
2026-04-11,a0e2,10.0,40.0
2026-04-11,s0ag,10.0,40.0
2026-04-11,va25,0.0,40.0
2026-04-11,z355,0.0,30.0
2026-04-12,a0e2,0.0,40.0
2026-04-12,s0ag,10.0,50.0
