date,team_id,team_name,rank,total_points
2026-04-06,T1,Team A,1,20.0
2026-04-06,T4,Team D,1,20.0
2026-04-06,T7,Team G,1,20.0
2026-04-06,T2,Team B,2,10.0
2026-04-06,T3,Team C,2,10.0
2026-04-06,T5,Team E,2,10.0
2026-04-06,T9,Team I,3,0.0
2026-04-07,T4,Team D,1,40.0
2026-04-07,T1,Team A,2,30.0
2026-04-07,T2,Team B,2,30.0
2026-04-07,T3,Team C,3,20.0
2026-04-07,T5,Team E,3,20.0
2026-04-07,T6,Team F,3,20.0
2026-04-07,T8,Team H,4,10.0
2026-04-07,T9,Team I,4,10.0
2026-04-08,T4,Team D,1,60.0
2026-04-08,T2,Team B,2,50.0
2026-04-08,T1,Team A,3,40.0
2026-04-08,T5,Team E,3,40.0
2026-04-08,T7,Team G,3,40.0
2026-04-08,T3,Team C,4,30.0
2026-04-08,T6,Team F,5,20.0
2026-04-08,T9,Team I,5,20.0
2026-04-08,T8,Team H,6,10.0
2026-04-09,T4,Team D,1,70.0
2026-04-09,T1,Team A,2,60.0
2026-04-09,T2,Team B,2,60.0
2026-04-09,T7,Team G,3,50.0
2026-04-09,T3,Team C,4,40.0
2026-04-09,T5,Team E,4,40.0
2026-04-09,T6,Team F,5,30.0
2026-04-09,T9,Team I,6,20.0
2026-04-10,T1,Team A,1,70.0
2026-04-10,T2,Team B,1,70.0
2026-04-10,T4,Team D,1,70.0
2026-04-10,T3,Team C,2,50.0
2026-04-10,T7,Team G,2,50.0
2026-04-10,T6,Team F,3,40.0
2026-04-11,T2,Team B,1,80.0
2026-04-11,T1,Team A,2,70.0
2026-04-11,T3,Team C,3,50.0
2026-04-11,T6,Team F,3,50.0
2026-04-12,T2,Team B,1,80.0
2026-04-12,T6,Team F,2,60.0
