ranking	Giocatore	moltiplicatore bonus	moltiplicatore malus	id_player	Squadra	Prezzo
1	Carlos Alcaraz	1	1.9	0001	Milan	70
2	Jannik Sinner	1	1.9	0002	Lazio	70
3	Alexander Zverev	1	1.9	0003	Juve	70
4	Novak Djokovi_	1	1.9	0004	Toro	70
5	FŽlix Auger-Aliassime	1	1.9	0005	Inter	70
6	Taylor Fritz	1	1.9	0006	Roma	70
7	Alex de Minaur	1	1.9	0007	Bologna	70
8	Lorenzo Musetti	1	1.9	0008	Cagliari	70
9	Ben Shelton	1	1.9	0009	Lecce	70
10	Jack Draper	1	1.9	0010	Como	70
11	Alexander Bublik	1.1	1.8	0011	Milan	60
12	Casper Ruud	1.1	1.8	0012	Lazio	60
13	Daniil Medvedev	1.1	1.8	0013	Juve	60
14	Alejandro Davidovich Fokina	1.1	1.8	0014	Toro	60
15	Holger Rune	1.1	1.8	0015	Inter	60
16	Andrey Rublev	1.1	1.8	0016	Roma	60
17	Ji_’ Lehe_ka	1.1	1.8	0017	Bologna	60
18	Karen Khachanov	1.1	1.8	0018	Cagliari	60
19	Jakub Men_’k	1.1	1.8	0019	Lecce	60
20	Tommy Paul	1.1	1.8	0020	Como	60
21	Francisco Cerœndolo	1.2	1.7	0021	Milan	50
22	Flavio Cobolli	1.2	1.7	0022	Lazio	50
23	Denis Shapovalov	1.2	1.7	0023	Juve	50
24	Jo‹o Fonseca	1.2	1.7	0024	Toro	50
25	Tallon Griekspoor	1.2	1.7	0025	Inter	50
26	Luciano Darderi	1.2	1.7	0026	Roma	50
27	Cameron Norrie	1.2	1.7	0027	Bologna	50
28	Learner Tien	1.2	1.7	0028	Cagliari	50
29	Arthur Rinderknech	1.2	1.7	0029	Lecce	50
30	Frances Tiafoe	1.2	1.7	0030	Como	50
31	Valentin Vacherot	1.3	1.6	0031	Milan	40
32	Tom‡_ Mach‡_	1.3	1.6	0032	Lazio	40
33	Brandon Nakashima	1.3	1.6	0033	Juve	40
34	Stefanos Tsitsipas	1.3	1.6	0034	Toro	40
35	Corentin Moutet	1.3	1.6	0035	Inter	40
36	Jaume Munar	1.3	1.6	0036	Roma	40
37	Ugo Humbert	1.3	1.6	0037	Bologna	40
38	Alex Michelsen	1.3	1.6	0038	Cagliari	40
39	Lorenzo Sonego	1.3	1.6	0039	Lecce	40
40	Arthur Fils	1.3	1.6	0040	Como	40
